"filename", "language", "JavaScript", "Handlebars", "JSON", "Log", "XML", "CSS", "TypeScript", "SCSS", "Properties", "comment", "blank", "total"
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\js\login.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 58
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\js\main.js", "JavaScript", 191, 0, 0, 0, 0, 0, 0, 0, 0, 122, 23, 336
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\js\requestClearance.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 59
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\js\residentApprovalForm.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 28, 20, 115
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\js\residentLogin.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 33
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\apexcharts.amd.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\apexcharts.common.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 15
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\apexcharts.css", "CSS", 0, 0, 0, 0, 0, 576, 0, 0, 0, 0, 113, 689
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\apexcharts.esm.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 15
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\apexcharts.js", "JavaScript", 28157, 0, 0, 0, 0, 0, 0, 0, 0, 2942, 1153, 32252
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\apexcharts.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 15
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ar.json", "JSON", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 1, 64
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\be-cyrl.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\be-latn.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ca.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\cs.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\da.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\de.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\el.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\en.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\es.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\et.json", "JSON", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 1, 64
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\fa.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\fi.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\fr.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\he.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\hi.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\hr.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\hu.json", "JSON", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 1, 65
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\hy.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\id.json", "JSON", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\it.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ja.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ka.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ko.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\lt.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\lv.json", "JSON", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 2, 65
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ms.json", "JSON", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 63
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\nb.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\nl.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\pl.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\pt-br.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\pt.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\rs.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ru.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\se.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\sk.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\sl.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\sq.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\th.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\tr.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ua.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\vi.json", "JSON", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 63
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\zh-cn.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\zh-tw.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap-icons\bootstrap-icons.css", "CSS", 0, 0, 0, 0, 0, 2070, 0, 0, 0, 5, 4, 2079
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap-icons\bootstrap-icons.json", "JSON", 0, 0, 2052, 0, 0, 0, 0, 0, 0, 0, 0, 2052
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap-icons\bootstrap-icons.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap-icons\bootstrap-icons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2080, 0, 5, 6, 2091
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 3886, 0, 0, 0, 6, 193, 4085
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 0, 0, 3886, 0, 0, 0, 6, 192, 4084
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 518, 0, 0, 0, 14, 65, 597
