"filename", "language", "JSON", "JavaScript", "Handlebars", "CSS", "Markdown", "Less", "TypeScript", "SCSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\nb.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\nl.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\pl.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\pt-br.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\pt.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\rs.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ru.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\se.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\sk.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\sl.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\sq.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\th.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\tr.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ua.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\vi.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\zh-cn.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\zh-tw.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap-icons\bootstrap-icons.css", "CSS", 0, 0, 0, 2070, 0, 0, 0, 0, 0, 0, 5, 4, 2079
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap-icons\bootstrap-icons.json", "JSON", 2052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2052
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap-icons\bootstrap-icons.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap-icons\bootstrap-icons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2080, 0, 0, 5, 6, 2091
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-grid.css", "CSS", 0, 0, 0, 3886, 0, 0, 0, 0, 0, 0, 6, 193, 4085
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 3886, 0, 0, 0, 0, 0, 0, 6, 192, 4084
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
